Cycle number     output_valid     output_value     
781                     0           dont care
782                     1           000000111
783                     0           dont care
784                     0           dont care
785                     0           dont care
786                     1           000001011
787                     1           000000001
788                     0           dont care
789                     1           011001001
790                     1           000000001
791                     1           000000100
792                     0           dont care
793                     0           dont care
794                     0           dont care
795                     1           001111000
796                     1           000000101
797                     0           dont care
798                     1           000000001
799                     0           dont care
800                     1           111110011
801                     0           dont care
802                     1           000000001
803                     0           dont care
804                     0           dont care
805                     1           100000000
806                     0           dont care
807                     0           dont care
808                     1           000000001
809                     0           dont care
810                     1           000000001
811                     1           111111011
812                     1           011101000
813                     1           000000001
814                     0           dont care
815                     0           dont care
816                     0           dont care
817                     1           011101000
818                     0           dont care
819                     0           dont care
820                     1           110101110
821                     0           dont care
822                     0           dont care
823                     1           000001111
824                     1           000000000
825                     1           110011110
826                     1           011001110
827                     0           dont care
828                     0           dont care
829                     0           dont care
830                     1           111001010
831                     0           dont care
832                     0           dont care
833                     0           dont care
834                     1           111111010
835                     0           dont care
836                     0           dont care
837                     1           000000001
838                     1           000000001
839                     0           dont care
840                     0           dont care
841                     0           dont care
842                     0           dont care
843                     1           111111110
844                     0           dont care
845                     0           dont care
846                     1           000000001
847                     1           000000000
848                     0           dont care
849                     0           dont care
850                     0           dont care
851                     1           000000001
852                     0           dont care
853                     0           dont care
854                     1           010111101
855                     1           000000001
856                     1           000000111
857                     0           dont care
858                     0           dont care
859                     0           dont care
860                     1           000000001
861                     1           000000001
862                     0           dont care
863                     0           dont care
864                     1           000000011
865                     1           000000001
866                     1           000000001
867                     0           dont care
868                     0           dont care
869                     1           110111110
870                     1           000000001
871                     1           011010000
872                     0           dont care
873                     1           000000001
874                     1           111110010
875                     1           111100110
876                     0           dont care
877                     0           dont care
878                     1           101010111
879                     1           000000001
880                     0           dont care
881                     1           000000001
882                     1           000000001
883                     1           110101001
884                     1           010011011
885                     1           111111110
886                     0           dont care
887                     1           001000011
888                     0           dont care
889                     1           000000001
890                     1           010000010
891                     0           dont care
892                     1           000000000
893                     0           dont care
894                     0           dont care
895                     1           110011011
896                     1           000000001
897                     1           000010010
898                     1           000000001
899                     0           dont care
900                     0           dont care
901                     0           dont care
902                     0           dont care
903                     0           dont care
904                     0           dont care
905                     0           dont care
906                     1           000000001
907                     0           dont care
908                     1           110001000
909                     1           000011011
910                     0           dont care
911                     0           dont care
912                     0           dont care
913                     0           dont care
914                     0           dont care
915                     0           dont care
916                     1           000001010
917                     1           000000001
918                     0           dont care
919                     1           100001000
920                     1           000010010
921                     0           dont care
922                     0           dont care
923                     0           dont care
924                     1           000000001
925                     1           001001001
926                     0           dont care
927                     0           dont care
928                     1           010010001
929                     0           dont care
930                     1           000000001
931                     0           dont care
932                     0           dont care
933                     1           000000001
934                     1           111110110
935                     0           dont care
936                     0           dont care
937                     1           101001011
938                     0           dont care
939                     0           dont care
940                     0           dont care
941                     1           111110110
942                     1           000000001
943                     1           000000001
944                     1           000001100
945                     0           dont care
946                     0           dont care
947                     1           100000111
948                     1           000000001
949                     1           101100100
950                     1           000000001
951                     0           dont care
952                     1           000000001
953                     0           dont care
954                     1           100000000
955                     1           110010000
956                     1           000000101
957                     1           000000001
958                     1           010001000
959                     0           dont care
960                     1           111110110
961                     1           100011010
962                     1           010101110
963                     0           dont care
964                     1           011111111
965                     0           dont care
966                     0           dont care
967                     1           000111001
968                     1           011011011
969                     0           dont care
970                     0           dont care
971                     0           dont care
972                     1           011111111
973                     1           000111111
974                     1           000111001
975                     1           000000001
976                     1           000000100
977                     0           dont care
978                     0           dont care
979                     0           dont care
980                     1           000000011
981                     0           dont care
982                     0           dont care
983                     0           dont care
984                     0           dont care
985                     0           dont care
986                     0           dont care
987                     1           000000001
988                     0           dont care
989                     0           dont care
990                     0           dont care
991                     1           000010111
992                     1           111010110
993                     1           100000000
994                     0           dont care
995                     0           dont care
996                     0           dont care
997                     0           dont care
998                     1           111001000
999                     1           011000001
1000                     1           000000100
1001                     1           100000000
1002                     0           dont care
1003                     1           000000001
1004                     0           dont care
1005                     0           dont care
1006                     0           dont care
1007                     1           000000001
1008                     1           110110011
1009                     1           000000001
1010                     0           dont care
1011                     0           dont care
1012                     1           000000110
1013                     0           dont care
1014                     1           111101111
